Model,MAE,RMSE,MAPE (%),R2
Linear Regression,98228.44345578876,161590.1428320446,5.326522729354711,0.9960581893953081
Random Forest,73004.61905228758,123449.1677911554,3.325453015171622,0.9976993934229852
